starting_year,evidence_minus_intuition_score,evidence_z,intuition_z
1879,0.007253021715422613,0.13903019713612777,0.13177717561000196
1881,0.03406646461836809,0.11873325837094238,0.08466679389568675
1883,0.04006366939535748,0.07882645615895952,0.03876278679889039
1885,0.08209717016087803,0.10905537272208812,0.026958202682624045
1887,0.018691470946943282,0.07476486690175387,0.05607339590770469
1889,-0.04191910103343019,0.07372631434094461,0.11564541536780863
1891,0.043454212995032916,0.10401990767722034,0.06056569460892376
1893,-0.11018996814929313,0.04825210752447283,0.15844207572664387
1895,0.012801130752855413,0.11074934258152436,0.09794821168495348
1897,-0.08932497247383656,0.054134580299686055,0.14345955292037735
1899,-0.11329558941338558,0.02728323452025985,0.140578823959639
1901,-0.07359883217332358,0.08780929928569613,0.16140813137261567
1903,-0.020393460800552037,0.10103700304850619,0.12143046413091081
1905,0.04737725362564099,0.11313640930406417,0.0657591557598902
1907,0.09825428425139869,0.09515829144392038,-0.0030959928798995383
1909,0.04075539050048291,0.10257400346884264,0.06181861295198618
1911,-5.194014115010121e-06,0.09128798598743909,0.09129317991021992
1913,-0.04333266301076682,0.04796922160433866,0.09130188455241663
1915,-0.031980077903177175,0.005663908951492742,0.03764398686232276
1917,-0.05843452181271707,0.029998705455300197,0.08843322727195674
1919,-0.007879845905248591,0.023226724771471377,0.031106570733660317
1921,-0.050408183706625746,-0.011859391692317396,0.038548791993049746
1923,-0.04996481407828531,0.00825442675452174,0.05821924062722124
1925,-0.019404316027085693,0.02558035429179579,0.044984670434165853
1927,-0.03993801354553578,-0.03186137914937308,0.008076634404363181
1929,-0.020821492948344882,0.03399989659143882,0.05482138971221321
1931,-0.06042581208689976,-0.054709722897744374,0.0057160890809374865
1933,-0.11710480007357317,-0.05402489848745833,0.06307990162363256
1935,-0.05836067166162088,-0.020950971578415988,0.037409700256624795
1937,-0.00021853942924378116,0.03999442064871834,0.04021295980937455
1939,-0.06655068064234874,0.009918058868447856,0.07646873950872443
1941,-0.034413056908254865,0.044952484194880155,0.07936554088339351
1943,0.018993506325854757,0.06266887677858404,0.043675370342698076
1945,0.0051412561429614815,0.055278384200170505,0.05013712789019751
1947,0.038194374118926316,0.11370640832408158,0.07551203424276862
1949,0.02334136044009437,0.13885426280608504,0.11551290237994348
1951,0.02509023214981293,0.09118679916343386,0.06609656700597198
1953,0.09195327465949636,0.07896121713830709,-0.012992057550754351
1955,0.11258006910874728,0.015928589728952353,-0.09665147936805737
1957,0.15270833093067002,0.11764777699012467,-0.03506055411721791
1959,0.08189225268347938,0.11732400784268568,0.03543175536517075
1961,0.15750385044103601,0.11453681634339336,-0.04296703410434507
1963,0.1057906254692338,0.12773471071123652,0.02194408517397468
1965,0.21159397707563987,0.06579982114708521,-0.14579415597779688
1967,0.19193416094966062,0.11460308818731178,-0.07733107270468849
1969,0.2160640879197276,0.18476342133421486,-0.03130066671812718
1971,0.2679352305816609,0.14678072974452971,-0.12115450101257887
1973,0.3411910708455094,0.15662686577302942,-0.1845642050569623
1975,0.3467041835389349,0.17321957182363684,-0.17348461167058812
1977,0.28349122755212863,0.1874507151409335,-0.09604051246577629
1979,0.2338998615822158,0.12691331309027473,-0.10698654871907293
1981,0.13433615648758587,0.012759858536547725,-0.12157629805972194
1983,0.10874600099067729,0.016987763617620073,-0.0917582373760138
1985,0.026035690369957537,-0.014830959721662524,-0.04086664999033191
1987,0.06024891247266715,0.008794684284740556,-0.05145422824500175
1989,0.05245081877411544,-0.035783636951678535,-0.08823445572096576
1991,-0.004768650938506827,-0.08287988328242103,-0.07811123251310129
1993,-0.0764636745502962,-0.06238857338522398,0.014075101069658605
1995,-0.20231426014380408,-0.10553066130185106,0.09678359884302572
1997,-0.10885280548098329,-0.07070513256108082,0.03814767278870574
1999,-0.09328354048260316,-0.15917276102837374,-0.06588922059921971
2001,-0.13636513390341282,-0.18098388547237276,-0.04461875167840993
2003,-0.18223679639991605,-0.19378288194085191,-0.011546085466930757
2005,-0.1850949408097003,-0.20206832099395158,-0.01697338023347514
2007,-0.2216217362940482,-0.2904986544506725,-0.0688769181915124
2009,-0.3201071150960658,-0.3443425874654595,-0.02423547240231172
2011,-0.4109242331132114,-0.3465208082764801,0.06440342487754856
2013,-0.38860262046162297,-0.28512893741924555,0.10347368293408457
2015,-0.24338194749056874,-0.23685867393741597,0.006523273471346684
2017,-0.34232159600433704,-0.336134122092508,0.006187473891058848
2019,-0.36297295837574267,-0.381121591189386,-0.0181486326842005
2021,-0.4572439513607315,-0.4793348299248945,-0.022090878528751592
