starting_year,evidence_minus_intuition_score,evidence_z,intuition_z
1879,0.2092201906099398,0.10454730200873989,-0.10467288801219035
1881,0.17147926720921922,0.04685147955166936,-0.12462778837836051
1883,0.12990537839592678,0.04784625463868125,-0.08205912367808844
1885,0.17402778805440464,0.0826271871591045,-0.09140060065383578
1887,0.15148325224160392,0.0765058533017634,-0.07497739882790602
1889,0.12635643347832023,0.08777395506376509,-0.03858247935120972
1891,0.21882734226260092,0.0974917809760391,-0.12133556168553612
1893,0.10190402316257155,0.06228284970651758,-0.03962117401451278
1895,0.19159469281647154,0.10687809820368695,-0.08471659414155096
1897,0.12465938832286252,0.03962948363483212,-0.08502990426157965
1899,0.1301881578088637,0.03795507214652792,-0.0922330857832113
1901,0.15374068237408003,0.14179751697780368,-0.011943165978636221
1903,0.1835677900438225,0.13373043390304692,-0.04983735589366629
1905,0.22345482539127026,0.17384010521959142,-0.049614720785967126
1907,0.2796785078812509,0.18122015972843986,-0.09845834842533423
1909,0.2047688178409004,0.17368595166524145,-0.03108286586865168
1911,0.19594775495853092,0.17127582016011167,-0.024671934691263286
1913,0.1663861902001457,0.16355684370172854,-0.0028293465660378684
1915,0.18487997869379627,0.14947055431347467,-0.03540942439786471
1917,0.16078947379428407,0.11073988812480125,-0.050049585695660814
1919,0.25160579827492713,0.13810124490240436,-0.1135045535383396
1921,0.20817575068265537,0.11026968952275805,-0.09790606082315942
1923,0.1990398445220173,0.10602599665654677,-0.09301384833660255
1925,0.2125822512083956,0.13081636172356323,-0.08176588939711564
1927,0.18832464949433822,0.07136550504896899,-0.1169591442302145
1929,0.2478978043513472,0.18137687013819526,-0.06652093415698397
1931,0.22567110795241468,0.12974573784025972,-0.09592537008693822
1933,0.19173189295963203,0.12310492333807983,-0.06862696970729783
1935,0.24368950662016406,0.20199627382134255,-0.041693232939985156
1937,0.28128972510848455,0.24324420602253585,-0.03804551886631354
1939,0.2565181152310422,0.09288326821586533,-0.16363484695418712
1941,0.2895322048748073,0.09706496822667564,-0.19246723686989786
1943,0.30171240499742813,0.11997049853584814,-0.18174190628846995
1945,0.336046331105746,0.1590125522075846,-0.17703377890706323
1947,0.43474216249718445,0.27986558162000713,-0.15487658024336973
1949,0.38410732316250223,0.23502496716196042,-0.14908235596030034
1951,0.3577728791427311,0.1869204291551632,-0.17085244998688454
1953,0.4056266784464087,0.18855965108489794,-0.21706702699422942
1955,0.44706748755847364,0.19162960829629447,-0.25543787930764983
1957,0.489540558793321,0.26390709411777,-0.2256334648128944
1959,0.3176371401744732,-0.06774760549182417,-0.3853847453480748
1961,0.37513095843272476,-0.04576518302721463,-0.4208961413165034
1963,0.38995735096955736,-0.027527694256585696,-0.41748504503658906
1965,0.44920934413464164,-0.053571057291735044,-0.5027804015084103
1967,0.45992633977255404,-0.036183766679274,-0.4961101064003902
1969,0.4476217784221613,-0.006016835038136185,-0.45363861364790964
1971,0.48980446668103345,0.0035399345145389893,-0.4862645320562682
1973,0.5303725567246703,0.022824501945511767,-0.5075480548555452
1975,0.5407143893049595,0.04552959521307333,-0.49518479402185167
1977,0.5049920438328367,0.06854682645724541,-0.43644521724142815
1979,0.4613095518468122,-0.029731578599158547,-0.4910411304848392
1981,0.362189005671461,-0.14679033789569837,-0.5089793434209582
1983,0.3460208001169791,-0.15676506850432903,-0.5027858684173718
1985,0.27589777723127257,-0.18638292110050414,-0.46228069833659935
1987,0.322272754694483,-0.147169073333764,-0.4694418280661762
1989,0.27469937679448275,-0.1989590676248026,-0.47365844432703197
1991,0.23554552592709582,-0.2552083263978006,-0.4907538524423463
1993,0.1810432887553267,-0.23213720528287246,-0.41318049392389694
1995,0.03820091166923556,-0.2553315240792459,-0.2935324356876427
1997,0.09024782469335756,-0.25659403589046487,-0.3468418608042383
1999,0.1919946660257505,-0.2639067745012372,-0.4559014406054646
2001,0.2011475413672203,-0.2591321849552998,-0.4602797262846582
2003,0.13423905284421828,-0.33785081091211194,-0.4720898638012228
2005,0.1370413513425818,-0.34816582271963686,-0.4852071741293552
2007,0.08354986899789131,-0.4206148283738615,-0.5041646973212057
2009,0.02565879859727144,-0.45248129418321303,-0.47814009267819246
2011,-0.03309099415667269,-0.4192351895867975,-0.38614419541145334
2013,-0.006906034816195776,-0.4073689174871526,-0.40046288317591
2015,0.08831080167936792,-0.3438265155728503,-0.43213731739106187
2017,-0.005503448730774198,-0.5192598941828868,-0.5137564456137996
2019,0.01791393464606371,-0.5961409015539224,-0.6140548364563873
2021,-0.02805615774387153,-0.6403719759015049,-0.6123158183272602
