evidence_keywords
accurate
analyse
analysis
correct
correction
data
dossier
education
evidence
evident
exact
examination
examine
expert
explore
fact
find
findings
information
inquiry
intelligence
investigate
investigation
knowledge
lab
learn
logic
logical
method
pinpoint
precise
procedure
process
proof
question
read
reason
research
science
scientific
search
show
statistics
study
trial
real
true
truth
truthful
