,1879,1899,1919,1939,1959,1979,1999
1879,,0.8973996043205261,0.8608119487762451,0.787457287311554,0.7602214813232422,0.7345432639122009,0.7037553787231445
1899,0.8973996043205261,,0.9015981554985046,0.8043860197067261,0.7708649635314941,0.7382429242134094,0.6990177035331726
1919,0.8608119487762451,0.9015981554985046,,0.8506056666374207,0.7987118363380432,0.757042646408081,0.7122041583061218
1939,0.787457287311554,0.8043860197067261,0.8506056666374207,,0.8619795441627502,0.794498085975647,0.7350600957870483
1959,0.7602214813232422,0.7708649635314941,0.7987118363380432,0.8619795441627502,,0.8607912063598633,0.7758313417434692
1979,0.7345432639122009,0.7382429242134094,0.757042646408081,0.794498085975647,0.8607912063598633,,0.8611893653869629
1999,0.7037553787231445,0.6990177035331726,0.7122041583061218,0.7350600957870483,0.7758313417434692,0.8611893653869629,
