,1879,1899,1919,1939,1959,1979,1999
1879,,0.004119981080293655,0.016600722447037697,0.019663585349917412,0.011417485773563385,0.012095206417143345,0.008436978794634342
1899,0.004119981080293655,,0.01879497990012169,-0.0021894287783652544,0.025788625702261925,-0.0016799846198409796,0.010359270498156548
1919,0.016600722447037697,0.01879497990012169,,-0.010567858815193176,0.0028509951662272215,0.017237890511751175,0.030196214094758034
1939,0.019663585349917412,-0.0021894287783652544,-0.010567858815193176,,0.016762223094701767,0.008832545019686222,0.004250567406415939
1959,0.011417485773563385,0.025788625702261925,0.0028509951662272215,0.016762223094701767,,0.00504462281242013,0.012067859061062336
1979,0.012095206417143345,-0.0016799846198409796,0.017237890511751175,0.008832545019686222,0.00504462281242013,,0.00219517620280385
1999,0.008436978794634342,0.010359270498156548,0.030196214094758034,0.004250567406415939,0.012067859061062336,0.00219517620280385,
