intuition_keywords
belief
believe
bogus
common sense
distrust
doubt
fake
fake news
feeling
genuine
guess
gut
instinct
intuition
lie
mistrust
opinion
perspective
phony
point of view
propaganda
sense
suspicion
view
viewpoint
wrong
advice
deceive
deception
dishonest
dishonesty
mislead
mistaken
suggest
suggestion
