,1879,1899,1919,1939,1959,1979,1999
1879,,0.8932700157165527,0.8433852791786194,0.7628819346427917,0.7203877568244934,0.6763103008270264,0.6463088393211365
1899,0.8932700157165527,,0.8995475769042969,0.8036582469940186,0.7416037917137146,0.6804857850074768,0.6380792856216431
1919,0.8433852791786194,0.8995475769042969,,0.8553041815757751,0.7826207280158997,0.7065287828445435,0.6580556035041809
1939,0.7628819346427917,0.8036582469940186,0.8553041815757751,,0.8476348519325256,0.7584418654441833,0.6970247030258179
1959,0.7203877568244934,0.7416037917137146,0.7826207280158997,0.8476348519325256,,0.8624265789985657,0.7762929201126099
1979,0.6763103008270264,0.6804857850074768,0.7065287828445435,0.7584418654441833,0.8624265789985657,,0.8679700493812561
1999,0.6463088393211365,0.6380792856216431,0.6580556035041809,0.6970247030258179,0.7762929201126099,0.8679700493812561,
