,1879,1899,1919,1939,1959,1979,1999
1879,,0.023967737331986427,0.0017022292595356703,0.02420160360634327,-0.016877980902791023,0.02078264020383358,0.020074104890227318
1899,0.023967737331986427,,0.027467187494039536,0.007973273284733295,0.027752092108130455,-0.010633955709636211,0.038803599774837494
1919,0.0017022292595356703,0.027467187494039536,,0.032494086772203445,0.009212485514581203,0.01477693859487772,0.0028343393933027983
1939,0.02420160360634327,0.007973273284733295,0.032494086772203445,,0.001153451856225729,0.013412591069936752,0.018120918422937393
1959,-0.016877980902791023,0.027752092108130455,0.009212485514581203,0.001153451856225729,,-0.0186278335750103,0.007564739789813757
1979,0.02078264020383358,-0.010633955709636211,0.01477693859487772,0.013412591069936752,-0.0186278335750103,,0.0128584960475564
1999,0.020074104890227318,0.038803599774837494,0.0028343393933027983,0.018120918422937393,0.007564739789813757,0.0128584960475564,
